date,Belgium,China,France,Germany,Iran,Italy,Netherlands,Spain,USA,United Kingdom
03-04-2020,1143,3326,6520,1275,3294,14681,1490,11198,7418,3611
04-04-2020,1283,3330,7574,1444,3452,15362,1656,11947,8387,4320
05-04-2020,1447,3333,8093,1584,3603,15887,1771,12641,9489,4943
06-04-2020,1632,3335,8926,1810,3739,16523,1874,13341,10783,5385
07-04-2020,2035,3335,10343,2016,3872,17127,2108,14045,12798,6171
08-04-2020,2240,3337,10887,2349,3993,17669,2255,14792,14704,7111
09-04-2020,2523,3339,12228,2607,4110,18279,2403,15447,16553,7993
10-04-2020,3019,3340,13215,2767,4232,18849,2520,16081,18595,8974
11-04-2020,3346,3343,13851,2894,4357,19468,2653,16606,20471,9892
12-04-2020,3600,3343,14412,3022,4474,19899,2747,17209,22032,10629
